"","PlayerId","GPsec","PlayerName","GP"
"139",8470268,71,"Denis Grebeshkov",80
"140",8470608,71,"Robert Nilsson",85
"141",8470615,24,"Marc-Antoine Pouliot",79
"142",8470661,9,"Jean-Francois Jacques",47
"143",8470687,66,"Zack Stortini",70
"144",8470803,80,"Kyle Brodziak",80
"145",8470804,13,"Mathieu Roy",33
"146",8471208,82,"Dustin Penner",82
"147",8471222,65,"Ladislav Smid",73
"148",8471238,2,"Rob Schremp",80
"149",8471324,1,"Liam Reddox",66
"150",8471358,2,"Bryan Young",76
"151",8471699,82,"Andrew Cogliano",82
"152",8473525,1,"Theo Peckham",60
"153",8474040,79,"Sam Gagner",80
"154",8456100,73,"Jim Dowd",73
"155",8456531,44,"Derian Hatcher",44
"156",8458590,82,"Mike Knuble",82
"157",8458954,77,"Jason Smith",77
"158",8459469,19,"Rory Fitzpatrick",38
"159",8459670,80,"Kimmo Timonen",80
"160",8462047,62,"Martin Biron",62
"161",8462114,74,"Sami Kapanen",74
"162",8464975,79,"Daniel Briere",79
"163",8465067,5,"Jesse Boulerice",41
"164",8467346,25,"Simon Gagne",25
"165",8467511,28,"Antero Niittymaki",28
"166",8468486,80,"Scott Hartnell",80
"167",8468786,70,"Riley Cote",70
"168",8469469,74,"R.J. Umberger",74
"169",8470105,61,"Scottie Upshall",61
"170",8470207,56,"Joffrey Lupul",56
"171",8470317,2,"Nate Guenin",79
"172",8470601,78,"Braydon Coburn",78
"173",8470604,82,"Jeff Carter",82
"174",8470617,73,"Mike Richards",73
"175",8470674,14,"Stefan Ruzicka",73
"176",8470680,7,"Ryan Potulny",65
"177",8470743,53,"Lasse Kukkonen",53
"178",8470905,71,"Randy Jones",71
"179",8471692,22,"Ryan Parent",75
"180",8471703,32,"Steve Downie",53
"181",8473512,2,"Claude Giroux",64
"182",8473635,26,"Denis Tolpeko",50
"183",8473904,2,"Kyle Greentree",74
"184",8449924,1,"Teppo Numminen",1
"185",8459432,12,"Jocelyn Thibault",12
"186",8459538,55,"Nolan Pratt",55
"187",8462077,75,"Jochen Hecht",75
"188",8465042,82,"Toni Lydman",82
"189",8466182,71,"Henrik Tallinder",71
"190",8466202,56,"Maxim Afinogenov",64
"191",8466216,72,"Adam Mair",72
"192",8467354,46,"Dmitri Kalinin",55
"193",8467355,44,"Andrew Peters",44
"194",8467439,60,"Jaroslav Spacek",60
"195",8467502,79,"Ales Kotalik",86
"196",8467878,48,"Tim Connolly",48
"197",8467905,46,"Michael Ryan",46
"198",8468011,76,"Ryan Miller",76
"199",8468700,82,"Paul Gaustad",82
"200",8469485,78,"Derek Roy",87
"201",8469506,82,"Jason Pominville",89
"202",8469509,59,"Nathan Paetsch",59
"203",8470230,77,"Daniel Paille",77
"204",8470598,82,"Thomas Vanek",87
"205",8470667,37,"Clarke MacArthur",80
"206",8471226,64,"Drew Stafford",71
"207",8471256,4,"Michael Funk",62
"208",8471284,37,"Andrej Sekera",82
"209",8471388,40,"Patrick Kaleta",69
"210",8471752,2,"Marc-Andre Gragnani",80
"211",8473426,16,"Mike Weber",75
"212",8446053,69,"Chris Chelios",69
"213",8446485,65,"Kris Draper",65
"214",8447687,41,"Dominik Hasek",41
"215",8456106,65,"Dallas Drake",65
"216",8457063,76,"Nicklas Lidstrom",76
"217",8458568,43,"Chris Osgood",43
"218",8458982,3,"Darren McCarty",27
"219",8459001,61,"Kirk Maltby",61
"220",8460743,59,"Tomas Holmstrom",59
"221",8465992,56,"Aaron Downey",56
"222",8466149,63,"Daniel Cleary",63
"223",8467463,73,"Mikael Samuelsson",73
"224",8467514,82,"Pavel Datsyuk",82
"225",8467856,73,"Brian Rafalski",73
"226",8468083,75,"Henrik Zetterberg",75
"227",8468509,65,"Niklas Kronwall",65
"228",8468518,77,"Tomas Kopecky",77
"229",8468534,79,"Andreas Lilja",79
"230",8469997,23,"Mark Hartigan",71
"231",8470047,78,"Valtteri Filppula",78
